freq(fk_+66),vel(fk_+66),wav(fk_+66),freq(fk_+56),vel(fk_+56),wav(fk_+56),freq(fk_+51),vel(fk_+51),wav(fk_+51),freq(fk_+48),vel(fk_+48),wav(fk_+48),freq(fk_-2),vel(fk_-2),wav(fk_-2),freq(fk_-5),vel(fk_-5),wav(fk_-5),freq(fk_-10),vel(fk_-10),wav(fk_-10),freq(fk_-20),vel(fk_-20),wav(fk_-20),freq(fk_-30),vel(fk_-30),wav(fk_-30)
3.6875,147.5,40.0,3.6875,627.6595744680851,170.2127659574468,3.6875,143.90243902439025,39.02439024390244,3.6875,141.82692307692307,38.46153846153846,3.6875,427.53623188405794,115.94202898550724,3.6875,174.55621301775145,47.33727810650887,3.6875,nan,nan,3.6875,nan,nan,3.6875,117.52988047808765,31.872509960159363
3.75,153.84615384615384,41.02564102564102,3.75,120.48192771084337,32.128514056224894,3.75,144.2307692307692,38.46153846153845,3.75,134.52914798206277,35.874439461883405,3.75,461.5384615384615,123.07692307692307,3.75,230.76923076923075,61.53846153846153,3.75,nan,nan,3.75,nan,nan,3.75,113.63636363636363,30.3030303030303
3.8125,174.28571428571428,45.714285714285715,3.8125,124.48979591836735,32.6530612244898,3.8125,144.54976303317537,37.91469194312796,3.8125,128.15126050420167,33.61344537815126,3.8125,508.33333333333337,133.33333333333334,3.8125,274.77477477477476,72.07207207207206,3.8125,nan,nan,3.8125,nan,nan,3.8125,109.71223021582733,28.776978417266186
3.875,271.92982456140345,70.17543859649122,3.875,127.04918032786885,32.78688524590164,3.875,144.18604651162792,37.2093023255814,3.875,659.5744680851063,170.2127659574468,3.875,596.1538461538461,153.84615384615384,3.875,310.0,80.0,3.875,nan,nan,3.875,141.55251141552512,36.529680365296805,3.875,106.16438356164385,27.397260273972606
3.9375,315.0,80.0,3.9375,129.62962962962962,32.92181069958848,3.9375,145.16129032258064,36.866359447004605,3.9375,516.3934426229508,131.14754098360655,3.9375,700.0,177.77777777777777,3.9375,338.7096774193549,86.0215053763441,3.9375,nan,nan,3.9375,141.2556053811659,35.874439461883405,3.9375,102.27272727272728,25.974025974025977
4.0,323.2323232323232,80.8080808080808,4.0,132.78008298755188,33.19502074688797,4.0,148.8372093023256,37.2093023255814,4.0,444.4444444444444,111.1111111111111,4.0,842.1052631578948,210.5263157894737,4.0,367.8160919540229,91.95402298850573,4.0,nan,nan,4.0,140.9691629955947,35.242290748898675,4.0,99.07120743034056,24.76780185758514
4.0625,325.0,80.0,4.0625,136.5546218487395,33.613445378151255,4.0625,161.6915422885572,39.80099502487562,4.0625,396.3414634146341,97.56097560975608,4.0625,984.8484848484848,242.4242424242424,4.0625,396.3414634146341,97.56097560975608,4.0625,541.6666666666666,133.33333333333331,4.0625,140.69264069264068,34.63203463203463,4.0625,96.43916913946586,23.738872403560826
4.125,323.5294117647059,78.43137254901961,4.125,142.24137931034483,34.48275862068965,4.125,182.3204419889503,44.19889502762432,4.125,366.6666666666667,88.8888888888889,4.125,1137.9310344827586,275.8620689655172,4.125,423.0769230769231,102.56410256410257,4.125,388.235294117647,94.11764705882352,4.125,141.02564102564102,34.18803418803419,4.125,94.55587392550142,22.92263610315186
4.1875,322.1153846153846,76.92307692307692,4.1875,165.0246305418719,39.408866995073886,4.1875,194.7674418604651,46.51162790697674,4.1875,341.83673469387753,81.63265306122449,4.1875,1240.7407407407406,296.29629629629625,4.1875,446.6666666666667,106.66666666666667,4.1875,348.9583333333333,83.33333333333333,4.1875,143.16239316239316,34.18803418803419,4.1875,92.797783933518,22.1606648199446
4.25,314.81481481481484,74.07407407407408,4.25,244.6043165467626,57.55395683453237,4.25,197.67441860465115,46.51162790697674,4.25,323.80952380952385,76.1904761904762,4.25,1360.0,320.0,4.25,478.87323943661966,112.67605633802816,4.25,333.33333333333337,78.43137254901961,4.25,147.1861471861472,34.63203463203463,4.25,91.64420485175204,21.563342318059302
4.3125,308.0357142857143,71.42857142857143,4.3125,265.38461538461536,61.53846153846153,4.3125,197.14285714285714,45.714285714285715,4.3125,308.0357142857143,71.42857142857143,4.3125,1380.0,320.0,4.3125,507.35294117647055,117.6470588235294,4.3125,325.47169811320754,75.47169811320755,4.3125,158.25688073394494,36.69724770642201,4.3125,193.82022471910113,44.943820224719104
4.375,299.14529914529913,68.37606837606837,4.375,273.4375,62.5,4.375,194.44444444444443,44.44444444444444,4.375,296.61016949152537,67.79661016949152,4.375,1400.0,320.0,4.375,546.875,125.0,4.375,324.0740740740741,74.07407407407408,4.375,190.2173913043478,43.47826086956521,4.375,186.17021276595744,42.5531914893617
4.4375,288.6178861788618,65.04065040650407,4.4375,277.34375,62.5,4.4375,191.89189189189187,43.24324324324324,4.4375,284.0,64.0,4.4375,1420.0,320.0,4.4375,142.0,32.0,4.4375,325.6880733944954,73.39449541284404,4.4375,216.46341463414635,48.78048780487805,4.4375,180.2030456852792,40.609137055837564
